2019-06-04	11:07
Pokojowa, +-
 Prad (A)	U 4-5 (V)	Napiecie (V)
-2.1627E-1	-6.2431E-3	1.3000E-1
-2.3290E-1	-6.7298E-3	1.4000E-1
-2.4959E-1	-7.2020E-3	1.4000E-1
-2.6606E-1	-7.6812E-3	1.6000E-1
-2.8261E-1	-8.1655E-3	1.7000E-1
-2.9943E-1	-8.6384E-3	1.8000E-1
-3.1586E-1	-9.1215E-3	1.9000E-1
-3.3261E-1	-9.6118E-3	2.0000E-1
-3.4934E-1	-1.0079E-2	2.1000E-1
-3.6574E-1	-1.0564E-2	2.2000E-1
-3.8262E-1	-1.1047E-2	2.3000E-1
-3.9920E-1	-1.1522E-2	2.3000E-1
-4.1570E-1	-1.2004E-2	2.5000E-1
-4.3211E-1	-1.2475E-2	2.6000E-1
-4.4908E-1	-1.2965E-2	2.7000E-1
-4.6559E-1	-1.3443E-2	2.8000E-1
-4.8214E-1	-1.3917E-2	2.9000E-1
-4.9893E-1	-1.4406E-2	3.1000E-1
-5.1555E-1	-1.4878E-2	3.0000E-1
-5.3196E-1	-1.5359E-2	3.2000E-1
-5.4878E-1	-1.5846E-2	3.3000E-1
-5.6554E-1	-1.6321E-2	3.4000E-1
-5.8181E-1	-1.6799E-2	3.5000E-1
-5.9868E-1	-1.7285E-2	3.6000E-1
-6.1522E-1	-1.7755E-2	3.7000E-1
-6.3156E-1	-1.8242E-2	3.8000E-1
-6.4857E-1	-1.8726E-2	3.9000E-1
-6.6483E-1	-1.9192E-2	4.0000E-1
-6.8133E-1	-1.9680E-2	4.1000E-1
-6.9789E-1	-2.0149E-2	4.2000E-1
-7.1439E-1	-2.0641E-2	4.3000E-1
-7.3108E-1	-2.1123E-2	4.4000E-1
-7.4772E-1	-2.1597E-2	4.5000E-1
-7.6441E-1	-2.2088E-2	4.6000E-1
-7.8109E-1	-2.2565E-2	4.7000E-1
-7.9752E-1	-2.3035E-2	4.8000E-1
-8.1427E-1	-2.3531E-2	4.9000E-1
-8.3079E-1	-2.4005E-2	5.0000E-1
-8.4725E-1	-2.4483E-2	5.1000E-1
-8.6396E-1	-2.4978E-2	5.2000E-1
-8.8072E-1	-2.5457E-2	5.3000E-1
-8.9697E-1	-2.5940E-2	5.4000E-1
-9.1396E-1	-2.6426E-2	5.5000E-1
-9.3035E-1	-2.6900E-2	5.7000E-1
-9.4669E-1	-2.7384E-2	5.7000E-1
-9.6334E-1	-2.7864E-2	5.8000E-1
-9.8009E-1	-2.8352E-2	5.9000E-1
-9.9676E-1	-2.8833E-2	6.0000E-1
-9.9954E-1	-2.8921E-2	6.1000E-1
-9.9956E-1	-2.8926E-2	6.1000E-1
-9.9956E-1	-2.8929E-2	6.1000E-1
-9.9955E-1	-2.8932E-2	6.1000E-1
-9.9957E-1	-2.8936E-2	6.0000E-1
-9.9955E-1	-2.8940E-2	6.1000E-1
-9.9954E-1	-2.8944E-2	6.1000E-1
-9.9956E-1	-2.8947E-2	6.1000E-1
-9.9953E-1	-2.8949E-2	6.0000E-1
-9.9952E-1	-2.8953E-2	6.1000E-1
-9.9955E-1	-2.8956E-2	6.1000E-1
-9.9955E-1	-2.8959E-2	6.0000E-1
-9.9955E-1	-2.8961E-2	6.1000E-1
-9.9954E-1	-2.8963E-2	6.1000E-1
-9.9955E-1	-2.8967E-2	6.1000E-1
-9.9955E-1	-2.8970E-2	6.1000E-1
-9.9953E-1	-2.8972E-2	6.1000E-1
-9.9955E-1	-2.8976E-2	6.0000E-1
-9.9952E-1	-2.8977E-2	6.1000E-1
-9.9955E-1	-2.8981E-2	6.1000E-1
-9.9957E-1	-2.8982E-2	6.1000E-1
-9.9955E-1	-2.8985E-2	6.1000E-1
-9.9956E-1	-2.8986E-2	6.1000E-1
-9.9954E-1	-2.8988E-2	6.1000E-1
-9.9953E-1	-2.8990E-2	6.1000E-1
-9.9958E-1	-2.8993E-2	6.1000E-1
-9.9954E-1	-2.8995E-2	6.1000E-1
-9.9954E-1	-2.8997E-2	6.1000E-1
-9.9955E-1	-2.8999E-2	6.1000E-1
-9.9953E-1	-2.9001E-2	6.1000E-1
-9.9954E-1	-2.9002E-2	6.1000E-1
-9.9957E-1	-2.9004E-2	6.1000E-1
-9.9954E-1	-2.9006E-2	6.1000E-1
-9.9956E-1	-2.9008E-2	6.1000E-1
-9.9956E-1	-2.9009E-2	6.1000E-1
-9.9953E-1	-2.9011E-2	6.1000E-1
-9.9956E-1	-2.9011E-2	6.1000E-1
-9.9956E-1	-2.9014E-2	6.1000E-1
-9.9955E-1	-2.9016E-2	6.1000E-1
-9.9955E-1	-2.9017E-2	6.1000E-1
